,dependency,enterprise,well_known,used_projects,contributors_in_used_projects,cves,spotbugs_vuls
163,org_seleniumhq_selenium_selenium-java_3.141.59_selenium-java-3.141.59.jar,1,0,6,112,0,0
164,com_lihaoyi_requests_2.12_0.1.7_requests_2.12-0.1.7.jar,0,0,1,15,0,33
165,commons-validator_commons-validator_1.5.1_commons-validator-1.5.1.jar,0,1,1,15,0,30
166,net_sourceforge_htmlunit_htmlunit_2.26_htmlunit-2.26.jar,0,0,1,15,0,231
167,org_slf4j_slf4j-log4j12_1.7.12_slf4j-log4j12-1.7.12.jar,0,0,18,503,0,27
168,org_slf4j_slf4j-api_1.7.12_slf4j-api-1.7.12.jar,0,0,42,1095,0,55
169,org_apache_solr_solr-core_6.4.0_solr-core-6.4.0.jar,0,1,1,15,10,1597
170,org_apache_kafka_kafka-clients_0.10.0.0_kafka-clients-0.10.0.0.jar,1,1,1,15,2,206
171,org_apache_commons_commons-lang3_3.3.2_commons-lang3-3.3.2.jar,1,1,36,762,0,47
172,com_fasterxml_jackson_core_jackson-databind_2.8.4_jackson-databind-2.8.4.jar,0,0,1,50,23,49
173,org_springframework_boot_spring-boot-starter-aop_1.5.7.RELEASE_spring-boot-starter-aop-1.5.7.RELEASE.jar,0,0,1,50,2,0
174,javax_websocket_javax.websocket-client-api_1.1_javax.websocket-client-api-1.1.jar,0,0,3,80,0,0
175,org_springframework_boot_spring-boot-starter-test_1.5.7.RELEASE_spring-boot-starter-test-1.5.7.RELEASE.jar,0,0,1,50,2,0
176,javax_enterprise_cdi-api_1.2_cdi-api-1.2.jar,0,0,5,155,1,0
177,org_flywaydb_flyway-core_3.2.1_flyway-core-3.2.1.jar,0,0,5,80,0,120
178,org_springframework_boot_spring-boot-starter-data-jpa_1.5.7.RELEASE_spring-boot-starter-data-jpa-1.5.7.RELEASE.jar,0,0,1,50,2,0
179,joda-time_joda-time_2.5_joda-time-2.5.jar,1,0,8,124,0,22
180,org_apache_httpcomponents_httpclient_4.5.3_httpclient-4.5.3.jar,0,1,28,1540,0,210
181,org_slf4j_slf4j-api_1.7.5_slf4j-api-1.7.5.jar,0,0,53,1034,0,5
182,ch_qos_logback_logback-core_1.1.3_logback-core-1.1.3.jar,1,0,6,184,1,51
183,org_apache_kafka_kafka-clients_0.10.0.1_kafka-clients-0.10.0.1.jar,1,1,2,54,2,207
184,javax_ws_rs_javax.ws.rs-api_2.0.1_javax.ws.rs-api-2.0.1.jar,0,0,6,192,0,18
185,ch_qos_logback_logback-classic_1.1.3_logback-classic-1.1.3.jar,1,0,17,383,1,42
186,org_hsqldb_hsqldb_2.3.2_hsqldb-2.3.2.jar,0,0,6,112,0,295
187,javax_el_javax.el-api_2.2.4_javax.el-api-2.2.4.jar,0,0,4,88,0,3
188,org_apache_kafka_kafka_2.10_0.10.0.1_kafka_2.10-0.10.0.1.jar,1,1,1,50,2,127
189,org_glassfish_web_javax.el_2.2.4_javax.el-2.2.4.jar,0,1,3,62,0,10
190,com_lmax_disruptor_3.3.6_disruptor-3.3.6.jar,0,0,4,140,0,3
191,com_google_code_gson_gson_2.7_gson-2.7.jar,1,1,15,1308,0,3
192,io_jsonwebtoken_jjwt_0.7.0_jjwt-0.7.0.jar,1,0,8,110,0,4
193,javax_validation_validation-api_1.1.0.Final_validation-api-1.1.0.Final.jar,0,0,15,625,0,0
